店铺名称,页面id,类别,品牌名称,品牌id,品牌logo,评分,平均价格,最低价格,所属地区,地区Id,纬度,经度,详细地址,楼层,地铁站id,停车信息,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜,是否小吃,有无外卖,上周订单数,历史订单数,wifi,支持预定
龙虾阁(南沙店),6848079,小龙虾,龙虾阁,1254551,,5,50,19.8,南沙路,5312,20.018523,110.333519,龙华区南大桥下南沙路口凯盛广场A区101号,,,,单人餐19.8元，双人餐88元起，3人餐99元，2-3人餐118元;89.9代100元;,周一至周日 10:00-04:00  2019-01-28至2019-02-12 休息,0898-66762387/13379882387,94803,正宗盱眙龙虾空降海口啦！！！龙虾阁劲推多种口味龙虾，食材从江苏新鲜空运。并聘用获得多项大奖的名师烹饪，把龙虾的美味发挥的淋漓尽致。盱眙龙虾之所以有名，是与它的烹制方法有很大的关系，首先它的配料是独一无二的，即十三香（数十种中草药组成）；另外盱眙大小餐馆在将龙虾上桌时不是用的碗、碟之类的餐具，而是用的面盒、脸盒等；由于前几年螃蟹价格具高不下，对于普通百姓只好以虾代蟹过把瘾了，所以盱眙龙虾又被戏称为“螃蟹助理”。 但螃蟹始终不能和正宗的龙虾相提并论。 其奥妙何在?看着红红的一盆虾子，热气腾腾，香味扑鼻，诱人食欲。吃的时候，麻、辣、鲜、美、香、甜、嫩、酥、肥、亮，令人欲罢不能。吃后余味不绝，绕手三日，叫人无法忘记。本店还**研制了蒜香、清蒸、麻辣、干煸等十几种口味来满足不同食客的味蕾需求。 爱吃美味的您千万不要错过此次美食之旅……开动双手，空出肚皮来享受吧,,False,1,326,94803,True,False
跳跳香辣坊机器人主题餐厅(西沙路店),87012975,四川火锅,,0,,4.1,33,88,美兰区,5313,20.019689,110.335031,美兰区西沙路49号富源商业楼一楼（西沙路与南沙路交叉口）,,,,3-4人餐89.9元，2-3人餐99.8元，4-6人餐119.9元;88代100元;,周一至周日 11:00-14:00 17:00-05:30,0898-66754460,90586,,,False,1,473,90586,True,False
华莱士(五西路店),6172733,汉堡,华莱士,26189,http://p0.meituan.net/poi/40b78b9357bc226b82ad406d2d4ae43429705.png,4.1,12,11.9,海甸岛,5313,20.06217,110.32789,美兰区海甸五西路南国超市一楼B档2号铺,,,,11.9元时尚简约，26.9元双人套餐，51.9元欢聚四人套餐;,周一至周日 09:00-24:00  非营业时段 2018-02-15至2018-02-18 全天,17330878583,89821,华莱士炸鸡汉堡创建品牌以来，先后在闽、沪、苏、浙、赣、粤、津等全国23个省96个市级以上城市开设连锁餐厅。经营的汉堡、炸鸡、薯条等产品，美味与实惠兼具，时尚与文化领先，深得广大消费者的青睐。简明舒适的就餐环境，品质的保证，享受得到的西式快餐,,False,1,247,89821,False,False
一只酸奶牛(日月广场店),150312430,酸奶,,0,,5,12,9.9,日月广场,5315,20.015794,110.349466,琼山区国兴大道8号日月广场一号下沉广场L层,-1,,,9.9元酸奶紫米露3选1，14.9元芒来芒趣酸奶多，16元刨酸奶;,周一至周日 11:00-22:00,18789898402,86416,,,False,1,554,86416,False,False
皇点,1558677,甜点饮品,皇点蛋糕,1882340,,4.1,9,0.99,解放西/泰龙城,5312,20.03687,110.33865,龙华区大同路4号（泰龙商城2楼，大同货仓超市）,,,,0.9折（买单立享）;0.9元皇点蛋挞;,周一至周日 10:00-22:00,0898-66212511,79205,皇点，酥甜的外皮及多种口味的内馅，选用优质面粉与奶油，满足您的味蓄与心灵 ，人气商品脆皮泡芙，真材实料，懂得品味的您是不容错过的。,,False,0,0,79205,True,False
原味主张椰子鸡(名门广场店),2385485,海南菜,原味主张椰子鸡,294139,http://p1.meituan.net/poi/1070b024580bce43a71dd949b9f1a82827184.png,5,80,90,蓝天路沿线,5313,20.023159,110.35206,美兰区蓝天路名门广场南区5楼(近五指山路),5,,,双人餐188元，4人餐298元，6人餐398元;90代100元;,周一至周日 11:00-22:00  2019-02-04至2019-02-05 休息,0898-65369929,79014,没有多余的添加，无需繁琐的修饰， 只有靠近自然的心境，和原味的清新， 由于原味，所以养生；因为新鲜，所以健康,,False,0,118,79014,True,False
九毛九西北菜(望海店),1998308,山西菜,九毛九,1342327,,4.7,45,99.99,望海国际广场,5313,20.03069,110.34498,美兰区海秀东路8号望海国际广场6层,6,,,99.9代110元;,周一至周日 11:00-14:30 17:00-21:00,0898-66792656,77849,1995年10月25日，九毛九从海口市南航东路上那家只有57平方米、6张小桌、6名员工的“山西面王”开始起步。通过热情的服务、实惠的价格、诚信的经营理念、持续的拓展及勤俭、节约、厚道的优良传统，九毛九从无到有，从小到大，从单店经 营到多店连锁，成为了全国面食品种最多，规模**的面食专营企业。 经过十九年的励精图治，在全国拥有70多家分店，员工数量达数千人。 九毛九自1995年创立至今，秉承“品味山西面粹，传承晋商文化”的理念，以山西手工面食为主打，融合各地餐饮文化精髓于一身，已经成为华南地区知名餐饮连锁品牌。其分号遍布广州、北京、深圳、佛山、惠州、海口、中山等地；其中珠三角地区目前有50多家分店。,,False,0,121,77849,True,False
杨铭宇黄焖鸡(海大北门店),5636861,黄焖鸡,杨铭宇黄焖鸡米饭,644742,http://p0.meituan.net/poi/37c8fe4562a5b849be87bee1c5b41916178755.png,5,14,14.5,海甸岛,5313,20.062827,110.328113,美兰区海甸五西路驰天钰园左边第一间铺面,,,,14.5元黄焖鸡米饭小份，20.5元杨铭宇黄焖鸡米饭大份一份;,周一至周日 10:30-21:00,15120754906/13700498678,77623,精致美味，味蕾享受，美味随心萦绕。,,False,1,10,77623,False,False
至尊牛扒(大润发店),4854854,牛排,至尊牛扒,945584,http://p1.meituan.net/poi/c59044ab4d152c1f676862888fe9098232328.png,4,46,49,国兴大道,5313,20.017397,110.374582,美兰区国兴大道大润发一楼（拾味馆隔壁）,,,免费提供200个停车位,单人餐49元起，双人餐148元;88代100元;,周一至周日 11:00-21:30,0898-65351707/18319491240,75668,至尊牛扒是一家以经营牛扒，比萨，自助餐为主的连锁餐饮店；餐厅坚持走“价格实惠亲民，产品健康美味”的路线，分店所到之地，立即引发食客排队揽位狂潮；牛扒我们采用进口纯天然无污染的优质牛肉，加以秘制腌料慢火精工煎制，再辅于香浓黑胡椒汁，让您回味无穷；比萨采用美国最新进口原装设备机器，配于昂贵质优的芝士粒，让您垂涎三尺！自助餐40多种产品，不限时不限量，让您尽情享受。,,False,0,383,75668,True,False
豪约客牛排(龙华店),5064053,中西餐厅,豪约客中西餐厅,1702967,,4.9,50,65,龙华区,5312,20.03014,110.33305,龙华区龙华路50号汇丰商厦二层B001号（海南省医学院附属医院对面）,2,,,单人餐65元，双人餐128元，4人餐239元，6人餐369元，8人餐489元;76代80元，139代150元;,周一至周日 10:00-23:00  2019-02-04至2019-02-06 休息,0898-66500178,72972,豪约客经营项目：中西式套餐、无限量自助水果沙拉吧、牛排、商务简餐、乐尚茶饮、咖啡。 餐品定位为：健康、绿色、时尚、快捷、简约； 豪约客将西式牛排的做法进行改良，历经几十道工序，融入十几味天然名贵香料腌制12小时，并采用中国本土烹饪手法，精选中国内蒙、东北、山东的优良黄牛肉做为牛排食材，牛排制作全程手工切配、高温烹调，并保证牛肉肉质细嫩爽口、汁多味鲜，精心调配的黑胡椒酱与牛排的肌理香味混融一体，健康、自然回味无穷，让您吃出真正传统，豪约客大厨从业十五年，只为做出“中国好牛排”！！！ 豪约客保证：每一份西餐牛排都精选新鲜的食材制作主食，配有意大利面、通心粉、西式煎蛋、无限量缤纷自助沙拉吧、西式浓汤、麦香红茶、西式糕点、椰蓉面包等等，每一份中式餐品均采用新鲜食材，传统烹饪料理手法制作的主菜、泰国米饭、开胃小菜、蚝油青菜、干贝蒸蛋、原盅蒸汤、麦香红茶、无限量缤纷自选水果沙拉等等可口的美食加营养科学的配餐，美味更健康，关爱顾客朋友您的每一餐！,,False,1,120,72972,True,False
黄金海景大酒店旋转餐厅,1177028,综合自助,黄金海景大酒店,1195519,,3.7,121,53,万绿园,5312,20.031189,110.317806,龙华区滨海大道67号（黄金海景大酒店31楼）,,,免费停车,其他53元，单人午餐108元，单人晚餐158元;,周一至周日 07:30-10:30 11:30-14:00 18:00-21:00,0898-68519336,72724,黄金海景大酒店三十一楼旋转观光餐厅是海南**的旋转观光餐厅。餐厅现已全新装修，开始纳客迎宾！在这里，您无需走动，便可以360度远眺大海和美丽的椰城，蓝天白云与窗外的美景交相呼应，让您尽收眼底。餐厅设有大型海洋水族观赏鱼缸，各种各样的热带海水鱼和姿态各异的珊瑚，看着鱼儿们游来游去，让您仿佛置身于海洋世界，心情会无比的舒畅，给您的就餐环境增添不一样的乐趣！ 旋转餐厅秉承提供精品美食的宗旨，采用优质放心的食材，为您全天候提供开放式国际美食自助餐！当您置身于黄金旋转餐厅之中，会被琳琅满目的美食所吸引，百余种特色美味无限量自取，款款都是精品哦！现磨本地特色咖啡、酒水饮料、冰淇淋无限量畅享，给人无从抗拒的诱惑。 餐厅同时可容纳160人就餐，是您家人团聚、朋友聚会、商务洽谈、西式婚宴、生日派对的优选！使阁下尽享美好时光,,False,0,296,72724,True,False
朋派欢乐自助餐厅(鹏晖店),95930433,综合自助,,0,,4,50,55.5,海甸岛,5313,20.057598,110.349318,美兰区和平大道22号鹏晖商业广场4楼（观光电梯4楼出口直入10米左侧）,4,,,单人午餐55.5元，单人午/晚餐65.5元;,周一至周日 10:00-22:00,0898-66265598,69260,,,False,0,390,69260,True,False
印象三宝潮汕鲜牛肉火锅炭烤肉,97076395,潮汕牛肉火锅,,0,,3.7,54,79.9,友谊广场,5312,20.037595,110.337431,龙华区解放西路友谊广场6楼,5,,,每满100减20.01（买单立享）;双人餐88元起，3-4人餐188元，6人餐338元，8人餐469元，9-10人餐568元;79.9代100元;,周一至周日 11:00-14:00 17:30-21:30,0898-66206366/66206566,69133,,,False,0,37,69133,True,False
跳跳香辣坊(义龙路店),4578565,四川火锅,,0,,4.1,46,89.9,龙华区,5312,20.026868,110.334807,龙华区义龙西路24号远东雅居首层（义龙大酒店附近，原来的龙虾王火锅）,,,,3-4人餐89.9元，2-3人餐98元，4-6人餐119.9元;,周一至周日 17:00-03:30,0898-66775590,67385,,,False,0,259,67385,True,False
九毛九西北菜(海甸店),1179022,山西菜,九毛九,1342327,,4.3,45,99.99,海甸岛,5313,20.06203,110.32535,美兰区海甸岛五西路32号恒福居6号楼,,,,99.9代110元;,周一至周日 11:00-21:30,0898-66183887/15203656195,67199,1995年10月25日，九毛九从海口市南航东路上那家只有57平方米、6张小桌、6名员工的“山西面王”开始起步。通过热情的服务、实惠的价格、诚信的经营理念、持续的拓展及勤俭、节约、厚道的优良传统，九毛九从无到有，从小到大，从单店经 营到多店连锁，成为了全国面食品种最多，规模**的面食专营企业。 经过十九年的励精图治，在全国拥有70多家分店，员工数量达数千人。 九毛九自1995年创立至今，秉承“品味山西面粹，传承晋商文化”的理念，以山西手工面食为主打，融合各地餐饮文化精髓于一身，已经成为华南地区知名餐饮连锁品牌。其分号遍布广州、北京、深圳、佛山、惠州、海口、中山等地；其中珠三角地区目前有50多家分店。,,False,1,172,67199,True,False
SANTOS巴西烤肉(新城吾悦广场店),109815060,烤肉自助,,0,,4,76,38,新城吾悦购物广场,5312,19.977445,110.339196,龙华区椰海大道新城吾悦广场3楼,3,,,单人餐38元起，单人午餐70元，单人晚餐85元;,周一至周日 11:00-22:00,0898-36658089/36658086,65614,,,False,0,263,65614,False,False
玛格利塔(新华南路店),6648829,披萨,玛格丽塔,1351163,http://p0.meituan.net/poi/0e925ec4a5330a532b2417bfb265b92036387.png,4.4,17,16.9,文明路/和平南路,5313,20.040172,110.343084,美兰区新华南路55号（解放西路与新华南路交叉口东南角）,,,免费提供5个停车位,16.9元休闲小吃套餐，19.9元鸡肉披萨套餐B，19.9元美团单人套餐A，46元培根披萨套餐B，48元榴莲披萨套餐A;,周一至周日 08:00-02:00,0898-66103178,63460,,,False,1,78,63460,True,False
大嘴鱼乡(国兴店),4980096,鱼火锅,大嘴鱼乡,384043,,4.1,59,70,国兴大道、日月广场、省政府,5312,20.01759,110.37452,龙华区国兴路国兴大润发三楼,,,免费提供100个停车位,8.8折（买单立享）;4人餐88元起，双人餐99元，6人餐228元，8人餐358元，10人餐478元起;70代100元，85代100元;,周一至周日 11:00-21:00  2019-02-04至2019-02-05 休息,0898-65301140/65301235,63036,,,False,0,101,63036,True,False
玛格利塔(高登东店),40230445,披萨,,0,,4.4,18,16.9,高铁东站、龙昆南,5315,19.997622,110.358099,琼山区高登东街32号（建设银行对面）,,,免费提供5个停车位,16.9元休闲小吃套餐，19.9元鸡肉披萨套餐B，19.9元美团单人套餐A，46元培根披萨套餐B，48元榴莲披萨套餐A;,周一至周日 08:00-02:00,0898-65878895/17776848223,62863,,,False,1,86,62863,True,False
跳跳香辣坊机器人主题餐厅(五指山店),112395754,四川火锅,,0,,3.4,50,68.8,望海国际广场,5313,20.031051,110.347018,美兰区五指山路3号二楼北侧爱语阳光旁边（近望海国际后门）,,,,2-3人餐68.8元，双人餐69.6元，4-5人餐89.9元，4-6人餐119.9元;69代100元;,周一至周日 10:00-14:00 17:00-05:00,0898-65312284,62832,,,False,1,585,62832,False,False
烤尚宫韩式自助餐厅(解放西店),4841657,烤肉自助,烤尚宫韩式自助烤肉,1345386,,3.3,50,44.9,解放西/泰龙城,5312,20.039353,110.340173,龙华区解放西路11号金棕榈商业广场4层4号（原来文化宫）,4,,,9折（买单立享）;单人午餐44.9元，单人午/晚餐53.9元，[4]人午餐179元，[4]人午/晚餐215元;,周一至周日 11:00-21:00  2019-02-03至2019-02-07 休息,0898-66221091,62589,,,False,0,270,62589,True,False
潮欣牛肉店(南亚店),2467902,潮汕牛肉火锅,潮欣牛肉店,765597,,4.5,50,128,南亚广场,5313,20.03,110.34968,美兰区和平南路与龙舌路交叉口西北角龙福大厦底商,,,免费停车,双人餐128元，5人餐288元，6人餐338元，8人餐398元，10人餐468元;,周一至周日 10:00-01:00  2019-02-01至2019-02-19 休息,0898-65323189,62203,潮欣牛肉店于1996年开业以来，深受各界朋友支持与厚爱，首家为东湖店，现因租约期满已结束营业，请各位朋友认准潮欣品牌。 本店是专营全牛系列火锅为主的餐饮名店，食材新鲜优质，汤料上乘，物美价廉，口味正宗，潮汕牛肉丸，新鲜牛肉，请到潮欣牛肉店。,,False,1,172,62203,True,False
SOFTSTONE软石(名门店),2429667,蛋糕,softstone软石,2875515,,4.5,23,38,名门广场,5313,20.023003,110.351826,美兰区蓝天路名门广场北区1、2楼（正门入口处右侧）,2,,免费停车,38元流心芝士红丝绒，148元蛋糕5选1;,周一至周日 07:30-22:30  2019-02-04至2019-02-06 休息 2019-02-07 10:00-09:30,0898-65221811,60010,软石设在名门广场的一、二楼，你很少会看见这样的餐厅，首层专做饼店和各式饮品，二层是以烘焙为主题的时尚西式餐厅，两者分布于一间广场的上下层，来去方便，动线自如。据了解，这种以烘焙为主营内容的餐厅在全国也是十分少有的。源自于法文 boulanger，原意系 “巨大的鹅卵石 ”，可能是法国人觉得个头太大的鹅卵石状如面包，所以就以此命名，这大概也能解释法兰西对美食的狂热程度。软石就像是一块块石头状的面包，或曰面包所构成的石头。softstoneboulanger在法国还有另一层意思：面包店，而且是特指前店后厂的面包店，这代表着新鲜、温度和最直接便利的服务。我们为什么叫softstoneboulanger在法国还有另一层意思：面包店，而且是特指前店后厂的面包店，这代表着新鲜、温度和最直接便利的服务。,,False,1,45,60010,True,False
小龙坎老火锅(国贸店),150569726,四川火锅,小龙坎,2883441,http://p0.meituan.net/poi/108c210fe9a4ae636e2711fa68841da394319.png,4.7,86,25,龙华区,5312,20.025428,110.319312,龙华区国贸路嘉陵大厦2楼（苏荷酒吧楼上）,2,,,25代50元，89.9代100元;,周一至周日 11:00-02:00,0898-32195888,59549,,,False,1,479,59549,False,False
新海府粥城(红城湖店),6083521,海南菜,新海府粥城,29891,,4.2,50,88,高铁东站、龙昆南,5315,20.004694,110.350821,琼山区红城湖路57号（百乐城KTV旁）,,,,88代100元;,周一至周日 全天,0898-65809898,58756,新海府粥城是一家主要经营海南特色粥品、卤水、烧腊、小炒及小吃于一体的餐饮连锁机构。“汇集各地风味名肴，弘扬海南饮食文化”是新海府的宗旨；“实在做人，用心做事”是新海府的服务宗旨。新海府以特色精美的菜肴，以热情周到的服务，为顾客所青睐。,,False,1,227,58756,True,False
秘密cafe(解放西店),94871496,咖啡厅,,0,,4,24,16.8,解放西/泰龙城,5312,20.03872,110.33854,龙华区解放西个体大世界广场旁边尊宝披萨楼上4楼（九小对面，老鼠城旁边）,,,,16.8元秘密美味晚茶，19.8元秘密美味下午茶，19.8元单人简餐，24元单人简餐;,周一至周日 09:00-24:00,0898-66111313,58683,,,False,0,293,58683,True,False
秘密咖啡(五指山路店),115535235,咖啡厅,,0,,4.8,29,19.8,望海国际广场,5313,20.030975,110.347117,美兰区五指山路11号,,,,19.8元下午/晚茶套餐，24元单人简餐;,周一至周日 全天,0898-66763927,57744,,,False,0,301,57744,True,False
法兰度西餐厅果木牛扒(海口上邦店),4018896,牛排,,0,,5,91,19.9,上邦百汇城,5312,20.021476,110.322592,龙华区上邦百汇城2号楼3楼,3,,,每满600减100.1，9.5折（买单立享）;单人餐19.9元，双人餐99.9元起，3人餐269.9元;90代100元，499.9代600元;,周一至周日 09:00-24:00  非营业时段 2018-02-14至2018-03-02 08:00-18:00,0898-68515699,57330,,,False,0,235,57330,True,False
原味主张椰子鸡(万国店),1180603,海南菜,原味主张椰子鸡,294139,http://p1.meituan.net/poi/1070b024580bce43a71dd949b9f1a82827184.png,3.9,65,38,万国大都会,5312,20.031755,110.33914,龙华区大同路26号万国大都会6楼（近人民公园）,6,,,1-2人餐38元，2-3人餐100元，双人餐168元，3-4人餐298元，6人餐398元;,周一至周日 11:00-22:00,13976916877,56778,没有多余的添加，无需繁琐的修饰， 只有靠近自然的心境，和原味的清新， 由于原味，所以养生；因为新鲜，所以健康。,,False,0,0,56778,True,False
匠子烤鱼(上邦店),4536872,烤鱼,匠子烤鱼,2699714,http://p0.meituan.net/poi/a60aaeb6e15861760710694484fa4a9a55005.png,4.1,67,99,上邦百汇城,5312,20.021327,110.322101,龙华区金龙路上邦百汇城3号楼2楼（原新华书店）,2,,,99代110元;,周一至周日 11:00-15:00 17:00-21:30  2019-02-04 休息,0898-68530711,55902,,,False,0,148,55902,True,False
茶人屯(海甸岛店),2402466,茶餐厅,避风阁茶人屯,1044533,,4.9,30,9.9,海甸岛,5313,20.052814,110.341598,美兰区京海花园一楼A101铺面,,,,9.9元夏日新品5选一，19.8元茶人屯简餐，19.9元烧腊套餐，25元茶人屯单人简餐，28元烧鹅饭，118元茶人屯精致4人餐，8-10人餐668元;69.9代100元，85代100元;,周一至周日 07:00-01:00,0898-66227066/66267897,55586,避风阁茶人屯在海南的餐饮行业中已树立起了属于自己的餐饮独特的品牌，并拥有了一定规模和固定的老顾客，在阳光明媚下的避风阁这几个大字非常的夺目，让您无法无视的存在。这里是您休闲、娱乐、聚餐的好场所。店内每时每刻都洋溢着一种安逸而温暖的气息，在下午的时候，很多附近写字楼的人员都喜欢忙里偷闲，来这里轻叹一杯炭烧咖啡，或者约上一些生意伙伴，在分享小点心香甜的同时，拟下一份严谨的协议。 ,,False,0,89,55586,True,False
豪约客牛排(国贸店),6680289,中西餐厅,豪约客中西餐厅,1702967,,4.8,50,65,玉沙路,5312,20.0261,110.320466,"龙华区国贸大道28号金贸商城2楼（国贸路与玉沙路交汇处,肯德基楼上）",2,,,单人餐65元，双人餐128元起，双人餐128元起，4人餐239元，6人餐369元，8人餐489元;76代80元，139代150元;,周一至周日 11:30-14:00 17:30-21:00  2019-02-04至2019-02-06 休息,0898-68581248,55568,豪约客经营项目：中西式套餐、无限量自助水果沙拉吧、牛排、商务简餐、乐尚茶饮、咖啡。 餐品定位为：健康、绿色、时尚、快捷、简约； 豪约客将西式牛排的做法进行改良，历经几十道工序，融入十几味天然名贵香料腌制12小时，并采用中国本土烹饪手法，精选中国内蒙、东北、山东的优良黄牛肉做为牛排食材，牛排制作全程手工切配、高温烹调，并保证牛肉肉质细嫩爽口、汁多味鲜，精心调配的黑胡椒酱与牛排的肌理香味混融一体，健康、自然回味无穷，让您吃出真正传统，豪约客大厨从业十五年，只为做出“中国好牛排”！！！ 豪约客保证：每一份西餐牛排都精选新鲜的食材制作主食，配有意大利面、通心粉、西式煎蛋、无限量缤纷自助沙拉吧、西式浓汤、麦香红茶、西式糕点、椰蓉面包等等，每一份中式餐品均采用新鲜食材，传统烹饪料理手法制作的主菜、泰国米饭、开胃小菜、蚝油青菜、干贝蒸蛋、原盅蒸汤、麦香红茶、无限量缤纷自选水果沙拉等等可口的美食加营养科学的配餐，美味更健康，关爱顾客朋友您的每一餐！,,False,1,75,55568,True,False
华莱士(海垦店NO.3),1421441,快餐,华莱士,26189,http://p0.meituan.net/poi/40b78b9357bc226b82ad406d2d4ae43429705.png,3.6,14,10.9,海垦路,5312,20.004349,110.306339,龙华区海垦路滨濂村四里12号,,,免费提供5个停车位,10.9元单人套餐，11.9元单人小吃拼盘套餐;,周一至周日 09:00-00:30,0898-68982528/13379925287,55195,,,False,1,159,55195,True,False
咱外婆家的菜(新城吾悦店),114680845,融合菜,,0,,4.4,47,92.9,新城吾悦购物广场,5312,19.9777,110.339596,龙华区迎宾大道18号新城吾悦广场3楼3027-1铺面,3,,,92.9代100元;,周一至周日 11:00-14:00 17:00-21:00,0898-65812705,55150,,,False,1,257,55150,False,False
季季香酒楼(龙昆南路店),1484747,川菜,,0,,4.5,61,58,龙昆南路,5312,20.005632,110.340353,龙华区龙昆南路69号（和信广场对面）,,,免费提供20个停车位,双人餐58元，3-4人餐88元，3-4人餐88元，2-4人餐108元;,周一至周日 11:00-15:00 17:00-04:00,0898-66720300,55148,季季香餐饮有限公司是一家以经营香辣火锅、湖北菜、粤菜、新派川·湘菜、早晚茶 婚宴接待的综合性专业餐饮店和餐饮项目开发之企业。 海口季季香餐饮有限公司成立年来，于2009年发展首家形象店，此店位于海口市龙昆南路69号(魅力100旁150米)，总经营面积约3500平方米，设有22个包厢；一楼大厅可同时满足400人的大型用餐；一楼外场可同时满足300人用餐。二楼大厅可同时满足500人的大型婚宴接待用餐；三楼家庭、会议等、大型用餐包箱。经过多年的精心研究，将香辣、火锅、湖北菜、粤菜、新派川·湘菜、系精髓，汇集、研制、形成海口市季季香独具核心竞争力的产品。我们凭借独特的经营理念、成熟的管理模式，不断更新菜式以及强有力的后续支持。建立了一套完善的餐饮管理体系，拥有一支和谐而具战斗力的管理团队，通过标准化和制度化管理实现厨房和楼面管理精益求精，用优质的服务和精湛的出品使得海口季季香酒楼宾客迎门、高朋满座。为了答谢广大群众对季季香的支持我们店现在又增加了正宗重庆老火,,False,1,194,55148,True,False
